term	normalized	categories	sources	variants
张舟福建事考	张舟福建事考	商品版权词	商品版权词_encoded_decoded.txt	张舟福建事考
尤齐广东事考	尤齐广东事考	商品版权词	商品版权词_encoded_decoded.txt	尤齐广东事考
宋鸣飞银行速通课	宋鸣飞银行速通课	商品版权词	商品版权词_encoded_decoded.txt	宋鸣飞银行速通课
罗毅社工课	罗毅社工课	商品版权词	商品版权词_encoded_decoded.txt	罗毅社工课
江跃面试	江跃面试	商品版权词	商品版权词_encoded_decoded.txt	江跃面试
刘晓楠事考	刘晓楠事考	商品版权词	商品版权词_encoded_decoded.txt	刘晓楠事考
袁北雅思	袁北雅思	商品版权词	商品版权词_encoded_decoded.txt	袁北雅思
徐逸税考全课	徐逸税考全课	商品版权词	商品版权词_encoded_decoded.txt	徐逸税考全课
韩双双护编	韩双双护编	商品版权词	商品版权词_encoded_decoded.txt	韩双双护编
简一明软考	简一明软考	商品版权词	商品版权词_encoded_decoded.txt	简一明软考
边一寻四六级特训课	边一寻四六级特训课	商品版权词	商品版权词_encoded_decoded.txt	边一寻四六级特训课
小宝学长公考	小宝学长公考	商品版权词	商品版权词_encoded_decoded.txt	小宝学长公考
宁小文考研	宁小文考研	商品版权词	商品版权词_encoded_decoded.txt	宁小文考研
宋越基金从业	宋越基金从业	商品版权词	商品版权词_encoded_decoded.txt	宋越基金从业
宋文君三支全课	宋文君三支全课	商品版权词	商品版权词_encoded_decoded.txt	宋文君三支全课
谷迎迎导游课	谷迎迎导游课	商品版权词	商品版权词_encoded_decoded.txt	谷迎迎导游课
江子岩银行	江子岩银行	商品版权词	商品版权词_encoded_decoded.txt	江子岩银行
孟悦自考英语二	孟悦自考英语二	商品版权词	商品版权词_encoded_decoded.txt	孟悦自考英语二
关韬基金从业	关韬基金从业	商品版权词	商品版权词_encoded_decoded.txt	关韬基金从业
齐冲警安速通课	齐冲警安速通课	商品版权词	商品版权词_encoded_decoded.txt	齐冲警安速通课
职朗选调	职朗选调	商品版权词	商品版权词_encoded_decoded.txt	职朗选调
